SITE CODE= 77029 ëÂç„ñkãÊíÉâÆí¨
 LAT.=   34.7054
 LON.=  135.5023
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2018 06 18 07 58 20
 NS,EW,UD
0.002,0.001,0.029
-0.042,0.024,0.048
-0.060,0.023,0.030
-0.024,0.002,0.012
0.028,-0.021,-0.007
0.039,-0.028,0.008
0.032,0.001,0.069
0.038,0.038,0.064
0.017,0.037,-0.055
-0.011,-0.012,-0.113
-0.045,-0.029,-0.020
-0.055,0.019,0.045
-0.011,0.032,-0.058
0.046,-0.002,-0.114
0.050,-0.018,0.020
-0.018,-0.022,0.084
-0.026,-0.017,0.011
0.016,-0.015,-0.049
0.016,-0.034,-0.036
0.020,-0.009,0.031
0.035,0.040,0.039
0.055,0.025,0.008
0.026,-0.001,0.004
-0.057,0.002,-0.011
-0.059,0.014,-0.006
-0.022,0.019,-0.002
-0.008,-0.009,-0.011
0.001,-0.025,0.046
-0.028,-0.020,0.085
-0.029,-0.025,0.062
0.016,-0.004,0.022
0.025,0.029,-0.012
0.027,0.046,-0.038
0.020,0.033,-0.044
-0.002,0.004,0.002
0.000,-0.010,0.014
-0.004,-0.001,0.004
-0.010,0.000,0.019
-0.005,-0.007,-0.004
-0.021,0.006,-0.053
-0.016,0.004,-0.068
-0.004,0.000,-0.065
-0.004,-0.003,-0.065
0.022,-0.019,0.029
0.016,-0.015,0.097
-0.013,-0.034,0.055
-0.024,-0.059,0.031
-0.009,-0.061,0.008
0.022,-0.039,-0.004
0.018,0.003,-0.015
0.024,-0.003,0.008
0.026,0.006,0.053
-0.014,0.051,0.008
-0.025,0.067,-0.029
-0.025,0.075,-0.011
-0.041,0.032,-0.047
-0.031,-0.040,-0.078
0.008,-0.041,0.048
0.013,0.001,0.121
-0.017,0.036,-0.027
0.001,0.035,-0.157
0.014,0.019,-0.116
-0.007,0.015,0.018
0.010,0.005,0.067
0.020,-0.011,0.031
0.015,-0.020,0.035
0.008,-0.009,0.069
-0.021,0.005,0.059
0.006,0.029,-0.030
0.047,0.025,-0.078
0.049,-0.034,-0.068
0.058,-0.041,-0.051
-0.015,-0.021,-0.012
-0.077,-0.028,-0.006
0.000,-0.010,0.008
0.034,-0.010,0.031
0.016,-0.007,0.009
0.015,0.010,-0.011
-0.019,0.008,-0.026
-0.052,-0.002,-0.034
-0.063,-0.016,0.013
-0.033,-0.004,0.070
0.015,-0.003,0.065
0.023,-0.018,0.061
0.035,0.010,0.065
0.039,0.036,0.020
0.011,0.034,-0.015
-0.019,0.022,-0.006
-0.022,0.008,0.000
-0.008,-0.004,-0.003
-0.036,-0.020,-0.011
-0.028,-0.014,-0.006
0.021,0.005,-0.006
-0.007,-0.013,-0.044
-0.022,-0.031,-0.049
0.008,-0.010,-0.021
-0.007,0.000,-0.007
-0.029,0.012,-0.003
-0.010,0.020,-0.003
0.011,0.010,0.015
-0.004,0.003,0.013
-0.025,-0.019,-0.003
-0.013,-0.012,-0.011
-0.018,0.021,-0.039
-0.020,0.009,-0.089
0.034,-0.023,-0.067
0.048,-0.019,0.095
0.004,0.031,0.163
0.006,0.053,0.011
0.014,0.012,-0.068
-0.028,-0.031,0.016
-0.044,-0.049,0.049
-0.023,-0.038,0.024
-0.015,-0.026,0.001
0.000,-0.033,-0.044
0.029,0.002,-0.029
0.031,0.043,0.007
0.006,0.034,-0.004
