SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
0.198,-0.627,-0.801
0.134,-0.566,-0.597
0.042,-0.459,-0.226
-0.077,-0.300,0.195
-0.204,-0.126,0.579
-0.321,0.035,0.923
-0.404,0.167,1.179
-0.453,0.280,1.250
-0.484,0.412,1.085
-0.478,0.566,0.712
-0.439,0.701,0.217
-0.367,0.748,-0.297
-0.268,0.694,-0.718
-0.183,0.606,-0.894
-0.142,0.559,-0.725
-0.163,0.564,-0.262
-0.224,0.563,0.301
-0.266,0.525,0.744
-0.247,0.472,0.939
-0.172,0.419,0.870
-0.077,0.360,0.591
0.001,0.307,0.226
0.054,0.277,-0.072
0.100,0.268,-0.160
0.151,0.240,-0.003
0.191,0.153,0.299
0.215,0.024,0.562
0.233,-0.103,0.587
0.244,-0.197,0.288
0.220,-0.284,-0.276
0.145,-0.374,-0.947
0.044,-0.430,-1.538
-0.034,-0.419,-1.909
-0.056,-0.322,-2.016
-0.032,-0.201,-1.923
0.032,-0.132,-1.705
0.138,-0.144,-1.381
0.259,-0.238,-0.943
0.340,-0.353,-0.403
0.336,-0.424,0.157
0.278,-0.401,0.626
0.199,-0.268,0.896
0.131,-0.097,0.885
0.079,0.026,0.576
0.049,0.071,0.091
0.065,0.058,-0.357
0.094,0.041,-0.587
0.111,0.042,-0.519
0.084,0.041,-0.185
0.012,0.020,0.299
-0.058,-0.014,0.775
-0.124,-0.061,1.089
-0.182,-0.119,1.132
-0.223,-0.149,0.882
-0.240,-0.140,0.384
-0.221,-0.125,-0.241
-0.170,-0.127,-0.796
-0.097,-0.135,-1.071
-0.035,-0.134,-0.945
-0.014,-0.129,-0.506
-0.027,-0.116,0.017
-0.055,-0.106,0.427
-0.092,-0.106,0.615
-0.123,-0.122,0.601
