SITE CODE= 47274éÏèFéséOçËí¨            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  3.16,  5.38
 LAT.=   37.4504
 LON.=  137.3589
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 50
 NS,EW,UD
0.019,-0.006,0.005
0.017,-0.020,0.017
0.015,-0.031,0.020
0.018,-0.029,0.014
0.019,-0.016,0.008
0.013,-0.009,0.007
0.005,-0.011,0.010
-0.001,-0.020,0.011
-0.002,-0.028,0.010
-0.002,-0.032,0.005
-0.002,-0.030,0.001
0.002,-0.021,0.000
0.013,-0.009,0.003
0.025,-0.003,0.006
0.031,-0.013,0.009
0.028,-0.031,0.013
0.021,-0.044,0.015
0.016,-0.041,0.012
0.011,-0.025,0.004
0.009,-0.008,-0.004
0.012,-0.001,-0.003
0.025,-0.009,0.005
0.042,-0.025,0.011
0.049,-0.036,0.008
0.036,-0.031,0.002
0.011,-0.013,-0.000
0.001,0.000,0.003
0.017,-0.004,0.004
0.048,-0.018,-0.001
0.064,-0.021,-0.003
